MAP_PAR_ID,Full Address,total_value,est_annual_tax,rev_per_acre,acres,Landuse Description,unit_count,tax_exempt,is_water
001.0-0001-0016.0,51-53 THORNDIKE ST,1063900.0,11458.203,119217.45370605553,0.09611179104908187,104  - Two Family,1,False,False
001.0-0001-0017.0,55-57 THORNDIKE ST,1063600.0,11454.972,138441.17433062545,0.08274252263017659,104  - Two Family,1,False,False
001.0-0001-0018.0,59-61 THORNDIKE ST,1054600.0,11358.042,120626.91555592537,0.0941584384186144,104  - Two Family,1,False,False
001.0-0001-0019.0,63-65 THORNDIKE ST,1015100.0,10932.627,126709.24186284568,0.08628121231941267,104  - Two Family,1,False,False
001.0-0001-0020.0,67-69 THORNDIKE ST,1109800.0,11952.546,130134.61466481467,0.09184755363348908,104  - Two Family,1,False,False
001.0-0001-0021.0,52-54 MAGNOLIA ST,1068300.0,11505.591,120724.3240888803,0.09530466280788032,104  - Two Family,1,False,False
001.0-0001-0022.0,48-50 MAGNOLIA ST,1016400.0,10946.628,122467.3455818439,0.08938405538221175,104  - Two Family,1,False,False
001.0-0001-0023.0,46 MAGNOLIA ST #A | 46 MAGNOLIA ST #B,1792600.0,19306.302,198229.32413484578,0.09739377402541544,102  - Condo,2,False,False
001.0-0001-0024.0,44-44A MAGNOLIA ST,1235600.0,13307.412,156801.89693987198,0.08486767226485102,104  - Two Family,1,False,False
001.0-0001-0025.0,42-42A MAGNOLIA ST,993300.0,10697.841,108588.43849580146,0.09851731131038992,104  - Two Family,1,False,False
001.0-0001-0026.0,38-40 MAGNOLIA ST,1261500.0,13586.355,144337.99543317652,0.0941287493928791,104  - Two Family,1,False,False
001.0-0001-0027.0,36-36A MAGNOLIA ST,1013100.0,10911.087,115917.86026243804,0.09412774679671707,104  - Two Family,1,False,False
001.0-0001-0028.0,34 MAGNOLIA ST #2 | 32 MAGNOLIA ST #1,1306900.0,14075.313,124207.45038441615,0.1133210041461891,102  - Condo,2,False,False
001.0-0001-0029.0,30 MAGNOLIA ST #2 | 30 MAGNOLIA ST #1,1554800.0,16745.196,176383.43194009768,0.09493633169404997,102  - Condo,2,False,False
001.0-0001-0030.0,28-28A MAGNOLIA ST,1051400.0,11323.578,117188.17498582948,0.09662730903838428,104  - Two Family,1,False,False
001.0-0001-0031.0,24 MAGNOLIA ST #1 | 24 MAGNOLIA ST #2,1221800.0,13158.786,137408.42274030327,0.0957640422441178,102  - Condo,2,False,False
001.0-0001-0032.0,20 MAGNOLIA ST #1 | 20 MAGNOLIA ST #2 | 20 MAGNOLIA ST #3,1624600.0,17496.942,132293.47394181218,0.1322585421537561,102  - Condo,3,False,False
001.0-0001-0033.0,18 MAGNOLIA ST,1460500.0,15729.585000000001,175714.23110177982,0.08951799123708355,105  - Three Fam.,1,False,False
001.0-0001-0034.0,16-16A MAGNOLIA ST,1008300.0,10859.391,121041.34177300298,0.08971637988254749,104  - Two Family,1,False,False
001.0-0001-0035.0,14 MAGNOLIA ST,1383500.0,14900.295,130859.05671335538,0.11386521784761792,111  - Apts. 4-8,1,False,False
001.0-0001-0036.0,10 MAGNOLIA ST,1333600.0,14362.872,132838.59191095512,0.10812273597139432,105  - Three Fam.,1,False,False
001.0-0001-0037.0,4 MAGNOLIA ST #4 | 6 MAGNOLIA ST #6,1246000.0,13419.42,197715.67850631085,0.06787231089299611,102  - Condo,2,False,False
001.0-0002-0001.0,82-86 MASS AVE,720600.0,7760.862,132597.62015424602,0.058529421500718264,325  - Store,1,False,False
001.0-0002-0002.0,78-80 MASS AVE,1408800.0,15172.776,131683.1016124987,0.1152218911477999,104  - Two Family,1,False,False
001.0-0002-0003.0,74-76 MASS AVE,1060500.0,11421.585000000001,98230.39414252288,0.11627343145369422,104  - Two Family,1,False,False
001.0-0002-0004.0,70-72 MASS AVE,938100.0,10103.337,90562.44472532312,0.11156210535883314,013  - Res. / Comm.,1,False,False
001.0-0002-0005.0,5-7 FAIRMONT ST,1076900.0,11598.213,106036.74826062695,0.10937918401168656,104  - Two Family,1,False,False
001.0-0002-0006.0,9-11 FAIRMONT ST,1090300.0,11742.531,100358.8173064405,0.11700547410941267,104  - Two Family,1,False,False
001.0-0002-0007.0,13-15 FAIRMONT ST,1061000.0,11426.97,128585.65214050139,0.0888666022202393,105  - Three Fam.,1,False,False
001.0-0002-0008.0,17-17A FAIRMONT ST,1054600.0,11358.042,134030.7713855156,0.08474204753571564,104  - Two Family,1,False,False
001.0-0002-0009.0,19-19A FAIRMONT ST,1043700.0,11240.649,98429.47128078033,0.11420003433661527,104  - Two Family,1,False,False
001.0-0002-0010.0,21-23 FAIRMONT ST,1096100.0,11804.997,98694.23400403926,0.11961182047896392,104  - Two Family,1,False,False
001.0-0002-0011.0,25-25A FAIRMONT ST,1052100.0,11331.117,134729.25574012188,0.08410286940095991,104  - Two Family,1,False,False
001.0-0002-0012.0,27-29 FAIRMONT ST,1073600.0,11562.672,114878.65783318673,0.10065117592851713,104  - Two Family,1,False,False
001.0-0002-0013.0,31-33 FAIRMONT ST,1121700.0,12080.709,118681.34359588308,0.10179113779782879,104  - Two Family,1,False,False
001.0-0002-0014.0,35 FAIRMONT ST,1148600.0,12370.422,133171.92712657893,0.092890613411654,105  - Three Fam.,1,False,False
001.0-0002-0015.0,37 FAIRMONT ST,1026100.0,11051.097,114730.71593949593,0.09632204339967577,101  - One Family,1,False,False
001.0-0002-0016.0,39 FAIRMONT ST,875900.0,9433.443,103285.72239934147,0.0913334658543294,101  - One Family,1,False,False
001.0-0002-0017.0,43 FAIRMONT ST #43 | 41 FAIRMONT ST #41,1769200.0,19054.284,218988.5225476874,0.08701042309580721,102  - Condo,2,False,False
001.0-0002-0018.0,45 FAIRMONT ST #45 | 45 FAIRMONT ST #A,1546900.0,16660.113,171610.46789806552,0.09708098348578538,102  - Condo,2,False,False
001.0-0002-0019.0,47 FAIRMONT ST,884800.0,9529.296,107718.74311754547,0.08846460443380208,101  - One Family,1,False,False
001.0-0002-0020.0,49-49A FAIRMONT ST,1110600.0,11961.162,125228.61879339996,0.0955146045308806,104  - Two Family,1,False,False
001.0-0002-0021.0,66 THORNDIKE ST | 68 THORNDIKE ST,1223100.0,13172.787,136204.52860788512,0.09671328211063171,102  - Condo,2,False,False
001.0-0002-0022.0,64 THORNDIKE ST,1284400.0,13832.988,155971.16787789838,0.08868939168827099,101  - One Family,1,False,False
001.0-0002-0023.0,58-60 THORNDIKE ST #2 | 58-60 THORNDIKE ST #1,1855100.0,19979.427,203573.0050141651,0.0981437936656178,102  - Condo,2,False,False
001.0-0002-0024.0,54 THORNDIKE ST,845600.0,9107.112,103241.69712670213,0.08821156813049486,101  - One Family,1,False,False
001.0-0002-0025.0,50-52 THORNDIKE ST,1168900.0,12589.053,135521.22263407937,0.09289359079936639,104  - Two Family,1,False,False
001.0-0002-0026.0,46-48 THORNDIKE ST,1069400.0,11517.438,117321.31527673233,0.09817003817961958,104  - Two Family,1,False,False
001.0-0002-0027.0,42-44 THORNDIKE ST,1104900.0,11899.773,125292.69376904174,0.09497579341645765,104  - Two Family,1,False,False
001.0-0002-0028.0,38-40 THORNDIKE ST,1251300.0,13476.501,130153.77474634397,0.1035429131906799,105  - Three Fam.,1,False,False
001.0-0002-0029.0,34-36 THORNDIKE ST,1014400.0,10925.088,105297.87725656219,0.10375411437194139,104  - Two Family,1,False,False
001.0-0002-0030.0,30-32 THORNDIKE ST,1075000.0,11577.75,133545.67293864116,0.08669505904035923,104  - Two Family,1,False,False
001.0-0002-0031.0,26-28 THORNDIKE ST,1053200.0,11342.964,91306.13367413607,0.12423003300612954,104  - Two Family,1,False,False
001.0-0002-0032.0,24 THORNDIKE ST | 22 THORNDIKE ST,1502100.0,16177.617,136854.01889960174,0.11821075573869815,102  - Condo,2,False,False
001.0-0002-0033.0,18-20 THORNDIKE ST,1460400.0,15728.508,177067.1739339099,0.08882791570317063,104  - Two Family,1,False,False
001.0-0002-0034.0,14-16 THORNDIKE ST,1684600.0,18143.142,196604.49385107076,0.09228243792709821,104  - Two Family,1,False,False
001.0-0002-0035.0,12 THORNDIKE ST | 10 THORNDIKE ST,1126800.0,12135.636,99288.1492221912,0.12222642979115626,102  - Condo,2,False,False
001.0-0002-0036.0,6-8 THORNDIKE ST,1174700.0,12651.519,109927.32937531869,0.11508984227939016,104  - Two Family,1,False,False
001.0-0002-0037.0,2-4 THORNDIKE ST,995700.0,10723.689,152975.69852990189,0.07010060488727796,104  - Two Family,1,False,False
001.0-0003-0001.0,58-60 MASS AVE,1017600.0,10959.552,105755.689022294,0.1036308505132963,013  - Res. / Comm.,1,False,False
001.0-0003-0002.0,54 MASS AVE,1423600.0,15332.172,99777.2513368736,0.15366400451576537,104  - Two Family,1,False,False
001.0-0003-0003.0,48-50 MASS AVE,1007500.0,10850.775,101441.59449670804,0.10696573781036266,104  - Two Family,1,False,False
001.0-0003-0004.0,40-46 MASS AVE,1082300.0,11656.371,109548.96542946283,0.10640329604486669,013  - Res. / Comm.,1,False,False
001.0-0003-0005.0,3-5 LAFAYETTE ST,1075900.0,11587.443,99009.89592623661,0.11703318028566319,104  - Two Family,1,False,False
001.0-0003-0006.0,7-9 LAFAYETTE ST,1109400.0,11948.238,108586.75769981887,0.11003402489491525,104  - Two Family,1,False,False
001.0-0003-0007.0,11-13 LAFAYETTE ST,987700.0,10637.529,130421.57572205622,0.08156264744623107,104  - Two Family,1,False,False
001.0-0003-0008.0,15 LAFAYETTE ST #2 | 15 LAFAYETTE ST #1,1408400.0,15168.468,159461.29154981807,0.09512319794086922,102  - Condo,2,False,False
001.0-0003-0009.0,19-19A LAFAYETTE ST,1151000.0,12396.27,105845.97898743126,0.1171161164419104,104  - Two Family,1,False,False
001.0-0003-0010.0,21-23 LAFAYETTE ST,1150200.0,12387.654,138852.04086039064,0.08921477799851152,104  - Two Family,1,False,False
001.0-0003-0011.0,25 LAFAYETTE ST,788600.0,8493.222,95927.14483933592,0.08853825488317116,101  - One Family,1,False,False
001.0-0003-0012.0,27 LAFAYETTE ST,938100.0,10103.337,112121.57785431767,0.0901105495779547,101  - One Family,1,False,False
001.0-0003-0013.0,29-29A LAFAYETTE ST,1017400.0,10957.398,118623.99880544184,0.09237083651151821,104  - Two Family,1,False,False
001.0-0003-0014.0,31-33 LAFAYETTE ST,1209100.0,13022.007,145006.0163777487,0.08980321868905737,104  - Two Family,1,False,False
001.0-0003-0015.0,35 LAFAYETTE ST #A | 35 LAFAYETTE ST #B,2213700.0,23841.549,280095.1593186533,0.08511946103601313,102  - Condo,2,False,False
001.0-0003-0016.0,37-39 LAFAYETTE ST,1123000.0,12094.710000000001,139809.05234541415,0.08650877605635038,104  - Two Family,1,False,False
001.0-0003-0017.0,41 LAFAYETTE ST,1214500.0,13080.165,135797.33337666513,0.09632122129908954,105  - Three Fam.,1,False,False
001.0-0003-0018.0,47-49 LAFAYETTE ST,1071600.0,11541.132,123009.40550933752,0.09382316703517378,104  - Two Family,1,False,False
001.0-0003-0019.0,51-53 LAFAYETTE ST #1 | 51-53 LAFAYETTE ST #2,1140400.0,12282.108,148185.90961175176,0.08288310293589464,102  - Condo,2,False,False
001.0-0003-0020.0,55-55A LAFAYETTE ST,990500.0,10667.685,139288.82792128538,0.07658679564759134,104  - Two Family,1,False,False
001.0-0003-0021.0,50-50A FAIRMONT ST,994800.0,10713.996,125925.11256051468,0.08508228249429813,104  - Two Family,1,False,False
001.0-0003-0022.0,48 FAIRMONT ST,1006600.0,10841.082,123610.57575152123,0.08770351512472899,104  - Two Family,1,False,False
001.0-0003-0023.0,44-46 FAIRMONT ST,1090400.0,11743.608,134440.67803434085,0.08735159753508735,104  - Two Family,1,False,False
001.0-0003-0024.0,40-42 FAIRMONT ST,1180700.0,12716.139,128417.63729547804,0.09902174863053466,105  - Three Fam.,1,False,False
001.0-0003-0025.0,38-A FAIRMONT ST #1 | 38-A FAIRMONT ST #2,1111500.0,11970.855,135484.89655841413,0.08835564187657464,102  - Condo,2,False,False
001.0-0003-0026.0,36-36A FAIRMONT ST,1021800.0,11004.786,125550.39098634855,0.08765234352154731,104  - Two Family,1,False,False
001.0-0003-0027.0,34-A FAIRMONT ST #34A | 34 FAIRMONT ST #34,875100.0,9424.827,102093.82265523884,0.09231535028154197,102  - Condo,2,False,False
001.0-0003-0028.0,32-32A FAIRMONT ST,1130000.0,12170.1,128401.34287530532,0.09478171900288283,104  - Two Family,1,False,False
001.0-0003-0029.0,30 FAIRMONT ST #1 | 30 FAIRMONT ST #2,2034500.0,21911.565,233589.84541566364,0.09380358534425698,102  - Condo,2,False,False
001.0-0003-0030.0,26-26A FAIRMONT ST,1014500.0,10926.165,119448.41838841198,0.09147182647886762,104  - Two Family,1,False,False
001.0-0003-0031.0,22-24 FAIRMONT ST,1090900.0,11748.993,127143.62545688302,0.09240725170279435,104  - Two Family,1,False,False
001.0-0003-0032.0,20 FAIRMONT ST,1117600.0,12036.552,98159.6373595618,0.12262221340437246,104  - Two Family,1,False,False
001.0-0003-0033.0,16 FAIRMONT ST #16 | 18 FAIRMONT ST #18,1328100.0,14303.637,142230.5875942192,0.10056653243118117,102  - Condo,2,False,False
001.0-0003-0034.0,14 FAIRMONT ST #1 | 14 FAIRMONT ST #2,1296200.0,13960.074,163390.90450677893,0.08543972531482505,102  - Condo,2,False,False
001.0-0003-0035.0,12 FAIRMONT ST #2 | 12 FAIRMONT ST #1,1591200.0,17137.224,148246.75030929828,0.11559932318411922,102  - Condo,2,False,False
001.0-0003-0036.0,10 FAIRMONT ST,1057900.0,11393.583,112013.02238778576,0.10171659292038165,104  - Two Family,1,False,False
001.0-0004-0001.0,24-36 MASS AVE,2110900.0,22734.393,64380.785328646205,0.35312388446253296,332  - Auto Repair,1,False,False
001.0-0004-0002.0,20 MASS AVE,1107600.0,11928.852,92851.00578204951,0.12847305098666098,332  - Auto Repair,1,False,False
001.0-0004-0003.0,7 BOULEVARD RD,668800.0,7202.976,75057.42497026086,0.0959662019161189,331  - Auto Parts,1,False,False
001.0-0004-0004.0,11 BOULEVARD RD,370500.0,3990.285,42845.33804525279,0.09313230288405014,332  - Auto Repair,1,False,False
001.0-0004-0005.0,0LOT BOULEVARD RD,338200.0,3642.414,39073.49956607207,0.09321954881058943,337  - Parking Lot,1,False,False
001.0-0004-0006.0,19-21 BOULEVARD RD,1034800.0,11144.796,116038.39585379903,0.09604403713096596,104  - Two Family,1,False,False
001.0-0004-0007.0,23-25 BOULEVARD RD,997700.0,10745.229,126763.21931296654,0.0847661416161342,104  - Two Family,1,False,False
001.0-0004-0008.0,27 BOULEVARD RD #27 | 29 BOULEVARD RD #29,915800.0,9863.166,110015.01122269948,0.089652910910806,102  - Condo,2,False,False
001.0-0004-0009.0,31-33 BOULEVARD RD,959600.0,10334.892,123146.04893173507,0.08392386186688829,104  - Two Family,1,False,False
001.0-0004-0010.0,35-37 BOULEVARD RD #37 | 35-37 BOULEVARD RD #35,1165800.0,12555.666,181982.4214703793,0.06899383961677663,102  - Condo,2,False,False
001.0-0004-0011.0,38-40 LAFAYETTE ST #40 | 38-40 LAFAYETTE ST #38,1361700.0,14665.509,124856.09948178574,0.11745929162346957,102  - Condo,2,False,False
001.0-0004-0012.0,34 LAFAYETTE ST #2 | 34 LAFAYETTE ST #1,1321400.0,14231.478000000001,147420.09146540688,0.09653689574151102,102  - Condo,2,False,False
001.0-0004-0013.0,30 LAFAYETTE ST,952300.0,10256.271,156002.97536548547,0.06574407299586112,101  - One Family,1,False,False
001.0-0004-0014.A,28 LAFAYETTE ST,959900.0,10338.123,82577.0709318582,0.12519362679418503,101  - One Family,1,False,False
001.0-0004-0016.A,20 LAFAYETTE ST #20A | 20 LAFAYETTE ST #20,2836000.0,30543.72,321593.2158768569,0.09497625724696777,102  - Condo,2,False,False
001.0-0004-0017.0,14-16 LAFAYETTE ST,1180100.0,12709.677,93756.24174621016,0.13556086254399968,104  - Two Family,1,False,False
001.0-0004-0018.0,10 LAFAYETTE ST #1 | 10 LAFAYETTE ST #2,1175500.0,12660.135,97265.46751520979,0.13016063484216825,102  - Condo,2,False,False
001.0-0004-0019.0,8 LAFAYETTE ST,1566900.0,16875.513,184882.51211738045,0.0912769564126534,104  - Two Family,1,False,False
001.0-0005-0001.0,0LOT MASS AVE,3383600.0,0.0,0.0,1.4938054913390872,925  - DCR,1,True,True
002.0-0001-0001.0,0LOT MAGNOLIA ST,810000.0,0.0,0.0,0.24941583127068628,930  - Vacant-Sel,1,True,False
002.0-0001-0005.0,0LOT MAGNOLIA ST,1092000.0,0.0,0.0,0.4669292822513517,930  - Vacant-Sel,1,True,False
002.0-0001-0012.0,0LOT MAGNOLIA ST,2769600.0,0.0,0.0,1.1749507474454017,930  - Vacant-Sel,1,True,False
002.0-0001-0019.0,99-101 THORNDIKE ST,1041100.0,11212.647,94260.20021765353,0.11895420309005496,104  - Two Family,1,False,False
002.0-0001-0020.0,103 THORNDIKE ST,759400.0,8178.738,74686.9387609858,0.10950693837076003,101  - One Family,1,False,False
002.0-0001-0024.0,119-121 THORNDIKE ST,1062500.0,11443.125,72248.01401208146,0.1583867066309457,104  - Two Family,1,False,False
002.0-0001-0026.0,123-123A THORNDIKE ST,998400.0,10752.768,108637.19545533285,0.09897869652223391,104  - Two Family,1,False,False
002.0-0001-0027.0,127 THORNDIKE ST,870700.0,9377.439,85330.50118894727,0.10989551062445471,101  - One Family,1,False,False
002.0-0001-0028.0,131 THORNDIKE ST,1343000.0,14464.11,126153.92416276464,0.11465445958968593,101  - One Family,1,False,False
002.0-0001-0029.0,133 THORNDIKE ST,968700.0,10432.899,99004.56475703679,0.10537795934564197,101  - One Family,1,False,False
002.0-0001-0030.0,135-135A THORNDIKE ST,972000.0,10468.44,104925.51889644281,0.09977019994851702,104  - Two Family,1,False,False
002.0-0001-0031.0,137 THORNDIKE ST | 139 THORNDIKE ST,1124200.0,12107.634,137193.21654430026,0.08825242460942226,102  - Condo,2,False,False
002.0-0002-0001.0,74-76 MAGNOLIA ST,1021700.0,11003.709,117938.01621018023,0.09330078081345732,104  - Two Family,1,False,False
002.0-0002-0002.0,72 MAGNOLIA ST,1184000.0,12751.68,135733.07544792345,0.09394674037937366,101  - One Family,1,False,False
002.0-0002-0003.0,68-70 MAGNOLIA ST,1297100.0,13969.767,165504.00699003597,0.08440742465432295,104  - Two Family,1,False,False
002.0-0002-0004.0,64-66 MAGNOLIA ST,1189200.0,12807.684,139084.74485812918,0.09208546928036027,105  - Three Fam.,1,False,False
002.0-0002-0005.0,60-62 MAGNOLIA ST #1 | 60-62 MAGNOLIA ST #2,1779300.0,19163.061,166798.34573234283,0.11488759625200654,102  - Condo,2,False,False
002.0-0002-0006.0,56-58 MAGNOLIA ST,1234500.0,13295.565,113887.593880204,0.11674287380226268,104  - Two Family,1,False,False
002.0-0002-0007.0,71-73 THORNDIKE ST,1158200.0,12473.814,110847.10271356392,0.11253170984751079,104  - Two Family,1,False,False
002.0-0002-0008.0,75-77 THORNDIKE ST,1388600.0,14955.222,135664.77225162022,0.11023659091294713,104  - Two Family,1,False,False
002.0-0002-0009.0,79-81 THORNDIKE ST #2 | 79-81 THORNDIKE ST #1,1696200.0,18268.074,208077.85701473753,0.08779441629248483,102  - Condo,2,False,False
002.0-0002-0010.0,83 THORNDIKE ST | 85 THORNDIKE ST,1611400.0,17354.778,214931.86712738135,0.08074548568321202,102  - Condo,2,False,False
002.0-0002-0011.0,87-89 THORNDIKE ST,1177000.0,12676.29,141640.98144678856,0.08949592039336587,104  - Two Family,1,False,False
002.0-0002-0012.0,91-93 THORNDIKE ST,1158100.0,12472.737,129011.28041301727,0.09667942958220184,105  - Three Fam.,1,False,False
002.0-0003-0001.0,136 THORNDIKE ST | 134 THORNDIKE ST,1546900.0,16660.113,99579.56965888689,0.16730452900198073,102  - Condo,2,False,False
002.0-0003-0002.0,132 THORNDIKE ST,845200.0,9102.804,105020.92304136556,0.08667609973695047,101  - One Family,1,False,False
002.0-0003-0003.0,130-130A THORNDIKE ST,1038400.0,11183.568,127626.63875663045,0.08762722350876762,104  - Two Family,1,False,False
002.0-0003-0004.0,128 THORNDIKE ST #128A | 128 THORNDIKE ST #128,1411900.0,15206.163,167120.72346146606,0.09098909270522736,102  - Condo,2,False,False
002.0-0003-0005.0,122-122B THORNDIKE ST,1222200.0,13163.094000000001,107555.19125048043,0.12238455296262794,105  - Three Fam.,1,False,False
002.0-0003-0006.0,120 THORNDIKE ST | 118 THORNDIKE ST,2179400.0,23472.138,145877.8701319881,0.1609026645286414,102  - Condo,2,False,False
002.0-0003-0008.0,116-116A THORNDIKE ST,1006000.0,10834.62,111288.83450563227,0.0973558582775136,104  - Two Family,1,False,False
002.0-0003-0009.0,114 THORNDIKE ST,811800.0,8743.086,98600.95040734028,0.0886714170997395,101  - One Family,1,False,False
002.0-0003-0010.0,112 THORNDIKE ST,983100.0,10587.987,113968.81018614683,0.0929024965927651,101  - One Family,1,False,False
002.0-0003-0011.0,110 THORNDIKE ST,917300.0,9879.321,107183.15732224968,0.09217232676116731,101  - One Family,1,False,False
002.0-0003-0012.0,104-106 THORNDIKE ST,1281000.0,13796.37,76621.57066343563,0.18005856419468738,105  - Three Fam.,1,False,False
002.0-0003-0014.0,100 THORNDIKE ST,890800.0,9593.916,91980.8306199996,0.10430342860932997,101  - One Family,1,False,False
002.0-0003-0015.0,77-79 FAIRMONT ST #1 | 77-79 FAIRMONT ST #2,1959400.0,21102.738,230168.64718306027,0.09168380775691112,102  - Condo,2,False,False
002.0-0003-0016.0,81 FAIRMONT ST,1069100.0,11514.207,139692.55333522466,0.08242534569734002,101  - One Family,1,False,False
002.0-0003-0017.0,85 FAIRMONT ST,751700.0,8095.809,108469.236705132,0.07463691315546027,101  - One Family,1,False,False
002.0-0003-0018.0,87 FAIRMONT ST,837200.0,9016.644,109378.41134372316,0.08243531688959234,101  - One Family,1,False,False
002.0-0003-0019.0,89 FAIRMONT ST,787600.0,8482.452,102375.19362189909,0.082856517286093,101  - One Family,1,False,False
002.0-0003-0020.0,91-91A FAIRMONT ST,976300.0,10514.751,130970.43567073102,0.08028339331812892,104  - Two Family,1,False,False
002.0-0003-0021.0,93-93A FAIRMONT ST,962400.0,10365.048,116701.45949387891,0.08881678125493929,104  - Two Family,1,False,False
002.0-0003-0022.0,95-95A FAIRMONT ST,1076900.0,11598.213,140163.45106845122,0.0827477699185347,104  - Two Family,1,False,False
002.0-0003-0023.0,97-97A FAIRMONT ST,1043200.0,11235.264,106398.52697422142,0.10559604836185482,104  - Two Family,1,False,False
002.0-0003-0024.0,105-105A FAIRMONT ST,931800.0,10035.486,128675.99469250078,0.07799035106728316,104  - Two Family,1,False,False
002.0-0003-0025.0,107 FAIRMONT ST,1760900.0,18964.893,134627.71296465126,0.14086916120293558,104  - Two Family,1,False,False
002.0-0003-0026.0,109 FAIRMONT ST,954400.0,10278.888,127051.79001367447,0.08090313405969088,101  - One Family,1,False,False
002.0-0003-0027.0,111 FAIRMONT ST,855600.0,9214.812,73724.36639419284,0.12499004671982963,101  - One Family,1,False,False
002.0-0004-0001.0,90-92 THORNDIKE ST,1152100.0,12408.117,134353.60047634796,0.0923541829620291,104  - Two Family,1,False,False
002.0-0004-0002.0,86-88 THORNDIKE ST,1181300.0,12722.601,90378.81014581764,0.1407697332978083,104  - Two Family,1,False,False
002.0-0004-0003.0,80 THORNDIKE ST | 78 THORNDIKE ST,1606100.0,17297.697,131337.37680924736,0.13170429789474888,102  - Condo,2,False,False
002.0-0004-0005.0,76 THORNDIKE ST,1097300.0,11817.921,118092.58981869109,0.100073349379027,105  - Three Fam.,1,False,False
002.0-0004-0006.0,70-72 THORNDIKE ST,1326900.0,14290.713,167164.54841609363,0.085488897827957,104  - Two Family,1,False,False
002.0-0004-0007.0,51 FAIRMONT ST,897000.0,9660.69,114723.5076226163,0.08420846084813674,101  - One Family,1,False,False
002.0-0004-0008.0,53 FAIRMONT ST,849500.0,9149.115,96001.4503120569,0.09530184148531509,101  - One Family,1,False,False
002.0-0004-0009.0,57 FAIRMONT ST #1 | 55 FAIRMONT ST #2,1299700.0,13997.769,174035.97587481808,0.08043031867197632,102  - Condo,2,False,False
002.0-0004-0010.0,59-61 FAIRMONT ST,1089000.0,11728.53,140050.3858887661,0.08374507449993956,104  - Two Family,1,False,False
002.0-0004-0011.0,63-65 FAIRMONT ST,1193900.0,12858.303,160502.48145729923,0.0801127987757677,105  - Three Fam.,1,False,False
002.0-0004-0012.0,67-69 FAIRMONT ST,1192500.0,12843.225,133754.1886024163,0.09602110508984826,104  - Two Family,1,False,False
002.0-0004-0013.0,15-17 HERBERT RD,1187000.0,12783.99,151142.18651869067,0.08458253975582851,104  - Two Family,1,False,False
002.0-0005-0001.0,112 FAIRMONT ST,804800.0,8667.696,90239.3041623848,0.09605233640102721,101  - One Family,1,False,False
002.0-0005-0002.0,108 FAIRMONT ST,734600.0,7911.642,117282.90228204387,0.06745776107223159,101  - One Family,1,False,False
002.0-0005-0003.0,104-104A FAIRMONT ST,1169400.0,12594.438,58834.027285935954,0.2140672427333672,104  - Two Family,1,False,False
002.0-0005-0005.0,100 FAIRMONT ST,1102700.0,11876.079,100875.32439565989,0.1177302682410106,101  - One Family,1,False,False
002.0-0005-0006.0,96-98 FAIRMONT ST,1151400.0,12400.578,111497.21244893144,0.11121872670744821,104  - Two Family,1,False,False
002.0-0005-0007.0,94-94A FAIRMONT ST,1140300.0,12281.031,81834.5512127015,0.150071465145322,104  - Two Family,1,False,False
